                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5469,                 3.5219,                 1.2502,                0.03009,                0.92288,                0.23815,                0.15973,                 1.0295,                 3.5225,                0.88857,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.2993,                 1.9645,                 1.0858,                0.76021,                0.19625,                0.48916,                0.35052,                0.98023,                  2.685,                0.91608,             0.00034854,             0.00034854,             0.00034854
                      3,                 1.2443,                 1.4757,                 1.0686,                0.64817,                 0.6379,                0.76679,                 0.5322,                 1.0377,                 1.8657,                0.92161,             0.00046744,             0.00046744,             0.00046744
                      4,                 1.1621,                 1.2192,                 1.0342,                0.78792,                0.76644,                0.85305,                0.61612,                 1.0502,                 1.3467,                0.92862,             0.00041336,             0.00041336,             0.00041336
                      5,                 1.1375,                 1.1176,                 1.0142,                0.85297,                0.84431,                0.94093,                 0.6921,                0.96881,                 1.0765,                0.92646,             0.00035515,             0.00035515,             0.00035515
                      6,                  1.101,                0.97427,                 1.0166,                0.93442,                0.91365,                0.96668,                0.70718,                 1.0008,                0.91046,                0.92365,             0.00029694,             0.00029694,             0.00029694
                      7,                 1.0574,                0.92098,                0.99906,                0.93964,                0.94755,                0.96882,                0.74402,                0.89017,                 0.7712,                0.90892,             0.00023873,             0.00023873,             0.00023873
                      8,                 1.0203,                0.84602,                0.98827,                0.92281,                0.95159,                0.98001,                0.75705,                0.87468,                0.75816,                0.90355,             0.00018052,             0.00018052,             0.00018052
                      9,                 1.0262,                0.82352,                0.99137,                0.98407,                0.95429,                0.98279,                0.76758,                0.84698,                0.62808,                0.90244,              0.0001223,              0.0001223,              0.0001223
                     10,                0.97629,                0.79985,                0.97056,                0.95878,                0.93459,                0.98157,                0.76749,                0.83204,                0.68592,                0.89669,             6.4092e-05,             6.4092e-05,             6.4092e-05
